,REVENUE,HWT_SUBSCRIBER,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CUSTOMER_SERVICE_TICKETS_CNT,PRODUCT_CATEGORIES_VIEWED,SITE_VISIT_TIME_PER_VISIT_AVG,MOBILE_REGISTRATION,MEALS_CANCEL_BEFORE_NOON,MEALS_CANCEL_AFTER_NOON,SPECIFIED_TASTE_AND_PREFERENCES,PC_LOGINS_CNT,MOBILE_LOGINS_CNT,WEEKS_SUBSCRIBED_TO_WEEKLY_PLAN_CNT,ORDERS_DELIVERED_BEFORE_DELIVERY_CNT,ORDERS_DELIVERED_AFTER_DELIVERY_CNT,PACKAGE_ROOM_AT_CUSTOMER,FRIDGE_LOCKER_IN_PACKAGE_ROOM,PRCNT_FOLLOWED_MEAL_RECOM_WEB_MOBILE,SECONDS_WATCHING_PREP_VID_AVG,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED_CNT,MEAL_RATING_MEDIAN,SITE_CLICKS_PER_VISIT_AVG,PHOTOS_VIEWED_COUNT,missing_FAMILY_NAME,fe_MEAL_CHOICE_SPECIFICITY,fe_SITE_CLICK_RATE,fe_SUBSCRIPTIONS_SYNERGY,fe_CUSTOMER_COMPANY,fe_CUSTOMER_DOMAIN,fe_ONLY_HWT_CUSTOMER,fe_WP_INACTIVE_SUB,fe_WP_BASIC_SUB,fe_WP_PREMIUM_SUB
929,1190.0,1,53,7,6,3,61.0,1,2,0,1,4,1,8,0,5,1,0,20.0,90.4,2,0,2,16,0,0,0.1320754716981132,0.26229508196721313,1,pg,professional_domain,0,1,0,0
930,1800.0,1,39,4,7,1,154.2,1,2,0,1,6,2,8,0,0,0,0,20.0,122.0,3,1,3,11,16,0,0.10256410256410256,0.07133592736705577,1,pfizer,professional_domain,0,0,0,1
931,2222.5,1,34,1,5,1,36.0,1,4,0,1,4,1,5,4,2,0,0,10.0,153.1,6,1,2,14,0,0,0.029411764705882356,0.3888888888888889,1,mcdonalds,professional_domain,0,1,0,0
932,670.0,1,13,2,11,10,81.48,1,0,1,1,5,1,1,2,15,0,0,20.0,86.4,3,0,1,16,0,0,0.15384615384615385,0.19636720667648505,1,gmail,personal_domain,0,1,0,0
933,1820.0,1,45,7,8,7,123.39,1,3,0,1,5,2,4,3,0,0,0,20.0,142.8,4,0,3,13,0,0,0.15555555555555556,0.10535699813599156,1,yahoo,personal_domain,0,1,0,0
934,1325.0,1,28,9,5,3,86.31,1,3,1,0,6,1,1,0,0,1,1,20.0,114.8,4,0,2,15,0,0,0.32142857142857145,0.17379214459506429,1,dupont,professional_domain,0,1,0,0
935,1470.0,1,122,4,6,10,118.82,1,0,0,0,6,1,10,0,2,0,0,10.0,137.4,5,1,2,16,212,0,0.032786885245901634,0.13465746507322002,1,merck,professional_domain,0,1,0,0
936,1813.0,1,61,4,6,1,87.03,1,1,0,1,5,1,12,1,4,0,0,10.0,151.6,5,1,3,13,0,0,0.06557377049180327,0.14937377915661265,1,goldmansacs,professional_domain,0,1,0,0
937,1260.0,1,72,3,5,9,85.68,1,1,0,1,6,1,10,0,1,0,0,20.0,156.0,6,0,4,10,0,0,0.04166666666666666,0.11671335200746966,1,protonmail,personal_domain,0,1,0,0
938,600.0,1,13,2,11,3,98.71,1,2,0,1,5,1,19,0,6,0,0,20.0,127.6,3,0,2,16,0,0,0.15384615384615385,0.16209097355890995,0,microsoft,professional_domain,0,0,1,0
939,1230.0,1,28,4,4,4,113.34,1,0,0,1,5,2,10,0,3,1,0,30.0,131.9,3,0,2,16,0,0,0.14285714285714285,0.14116816657843656,1,yahoo,personal_domain,0,0,1,0
940,1300.0,1,31,9,6,1,70.53,1,1,0,1,5,2,11,1,9,0,0,20.0,87.4,3,0,2,16,0,0,0.2903225806451613,0.22685382106904864,1,gmail,personal_domain,0,0,1,0
941,1740.0,1,50,5,7,6,105.0,1,2,0,1,7,1,48,0,1,1,0,30.0,168.2,5,1,3,12,288,0,0.1,0.11428571428571427,0,pfizer,professional_domain,0,0,1,0
942,1040.0,1,13,5,12,4,58.2,1,2,0,1,6,2,24,7,2,0,0,10.0,222.9,6,0,1,15,0,0,0.38461538461538464,0.25773195876288657,0,protonmail,personal_domain,0,0,1,0
943,1080.0,1,12,4,11,10,133.07,1,0,0,1,6,1,11,0,6,0,0,30.0,99.6,4,1,1,19,0,0,0.3333333333333333,0.14278199443901707,1,gmail,personal_domain,0,0,1,0
944,1245.0,1,103,6,6,1,126.08,1,1,0,1,5,1,5,3,3,0,0,30.0,88.2,3,0,2,18,0,0,0.05825242718446603,0.14276649746192893,1,pg,professional_domain,0,1,0,0
945,1550.0,1,38,3,3,9,407.0,1,1,0,1,5,1,12,3,6,0,0,30.0,142.4,5,0,4,8,0,0,0.07894736842105263,0.019656019656019656,1,gmail,personal_domain,0,0,0,1
946,1515.0,1,32,2,8,9,126.72,1,0,0,1,6,1,5,0,1,0,0,10.0,95.8,3,0,2,18,0,0,0.0625,0.14204545454545456,1,yahoo,personal_domain,0,1,0,0
948,3363.0,1,123,4,8,1,197.62,1,0,2,1,5,1,12,0,5,1,0,20.0,148.3,2,2,3,15,0,0,0.032520325203252036,0.0759032486590426,1,protonmail,personal_domain,0,1,0,0
950,1625.0,1,47,4,7,8,90.44,1,3,0,1,5,1,12,0,4,0,0,30.0,171.6,6,0,3,12,0,0,0.0851063829787234,0.13268465280849182,1,cocacola,professional_domain,0,0,0,1
951,1950.0,1,94,3,5,5,95.35,1,2,0,0,6,2,2,0,7,0,0,10.0,166.0,5,0,3,11,95,0,0.031914893617021274,0.11536444677503932,1,protonmail,personal_domain,0,1,0,0
952,1319.0,1,44,6,6,4,74.89,0,2,0,1,6,2,21,0,1,0,0,30.0,79.6,2,0,2,15,0,0,0.13636363636363635,0.20029376418747494,0,protonmail,personal_domain,0,0,1,0
953,1655.0,1,128,3,5,10,84.0,1,4,0,1,5,2,4,7,3,0,0,10.0,195.5,5,0,2,18,162,0,0.0234375,0.21428571428571427,1,apple,professional_domain,0,1,0,0
954,2925.0,1,76,5,7,2,156.96,0,3,0,1,5,1,45,0,4,1,0,30.0,231.2,6,1,4,10,210,0,0.06578947368421052,0.063710499490316,0,msn,junk_domain,0,0,1,0
956,2518.5,1,78,4,6,5,206.44,1,4,0,1,6,2,24,0,4,0,0,20.0,209.3,5,1,3,12,123,0,0.05128205128205128,0.058128269715171474,0,verizon,professional_domain,0,0,0,1
958,1500.0,1,35,5,6,10,129.88,1,2,2,1,6,2,11,3,4,1,0,10.0,124.4,4,2,2,16,0,0,0.14285714285714285,0.12319063751154913,1,pfizer,professional_domain,0,0,0,1
959,1940.0,1,41,6,7,10,156.57,1,0,0,1,5,1,1,0,8,0,0,10.0,143.2,3,1,3,13,0,0,0.14634146341463414,0.08302995465287093,1,cisco,professional_domain,0,1,0,0
960,1310.0,1,47,4,6,3,87.28,1,0,0,1,6,2,37,0,1,1,0,20.0,106.2,4,0,2,17,80,0,0.0851063829787234,0.19477543538038494,0,caterpillar,professional_domain,0,0,1,0
961,1321.25,1,13,1,12,3,228.73,1,0,0,1,6,1,13,0,0,0,0,20.0,63.0,1,0,1,15,0,0,0.07692307692307693,0.0655795042189481,1,travelers,professional_domain,0,0,1,0
962,2895.0,1,74,7,5,2,113.75,0,0,0,1,5,1,38,3,5,0,0,20.0,297.8,9,1,3,14,300,0,0.0945945945945946,0.12307692307692307,0,yahoo,personal_domain,0,0,1,0
963,1245.0,1,61,3,3,4,93.0,1,4,0,1,5,1,5,0,0,1,0,20.0,104.1,4,0,2,16,132,0,0.049180327868852465,0.1720430107526882,1,protonmail,personal_domain,0,1,0,0
964,970.0,1,14,7,11,7,130.02,0,0,0,1,6,1,15,4,13,0,0,10.0,88.2,2,0,2,17,0,0,0.5,0.1307491155206891,0,cisco,professional_domain,0,0,1,0
965,2152.5,1,27,1,5,10,55.0,1,3,0,1,5,2,3,9,1,0,0,20.0,109.2,4,0,2,17,0,0,0.037037037037037035,0.3090909090909091,1,homedepot,professional_domain,0,1,0,0
966,1390.0,1,33,6,6,4,112.16,1,1,0,0,5,2,51,0,4,0,0,30.0,109.2,4,1,2,16,116,0,0.18181818181818185,0.14265335235378032,0,protonmail,personal_domain,0,0,1,0
967,1905.0,1,44,6,5,6,85.5,0,13,0,1,5,1,10,0,5,1,0,10.0,167.7,5,0,3,13,0,0,0.13636363636363635,0.152046783625731,1,yahoo,personal_domain,0,0,0,1
969,980.0,1,14,8,12,6,78.85,1,3,0,0,6,1,2,0,1,0,0,20.0,101.4,4,0,2,17,0,0,0.5714285714285714,0.2155992390615092,1,yahoo,personal_domain,0,1,0,0
972,1499.0,1,54,5,3,2,122.87,1,1,0,1,5,2,5,2,2,0,0,20.0,83.3,3,0,3,14,0,0,0.0925925925925926,0.11394156425490355,1,yahoo,personal_domain,0,1,0,0
973,1125.0,1,115,4,5,10,152.83,1,0,0,1,6,1,3,5,2,0,0,10.0,92.4,4,0,2,16,0,0,0.034782608695652174,0.10469148727344108,1,gmail,personal_domain,0,1,0,0
974,1400.0,1,51,7,6,6,69.63,1,1,0,1,6,1,9,3,4,1,1,10.0,128.3,4,0,3,11,0,0,0.13725490196078433,0.1579778830963665,1,me,junk_domain,0,1,0,0
975,1760.0,1,42,3,6,10,120.9,1,0,0,0,5,1,11,3,2,0,0,20.0,147.9,4,1,3,14,306,0,0.07142857142857142,0.11579818031430936,1,microsoft,professional_domain,0,0,0,1
976,1895.0,1,120,6,5,3,74.84,1,0,1,0,5,1,3,0,1,1,0,30.0,163.0,5,1,3,13,200,0,0.05,0.17370390165686794,1,pg,professional_domain,0,1,0,0
977,1450.0,1,33,4,7,10,92.45,1,3,0,1,6,1,14,0,7,1,0,20.0,99.0,3,0,3,15,0,0,0.12121212121212123,0.16224986479177933,1,verizon,professional_domain,0,0,1,0
978,5563.5,1,197,7,8,1,231.03,1,1,0,1,6,1,11,1,4,0,0,30.0,252.0,8,1,4,9,20,0,0.03553299492385787,0.038955979742890535,1,msn,junk_domain,0,1,0,0
982,2050.0,1,188,4,9,5,71.45,1,4,0,1,6,2,1,1,3,1,0,20.0,248.0,11,2,3,12,0,0,0.02127659574468085,0.16794961511546536,1,merck,professional_domain,0,1,0,0
983,3113.25,1,60,1,4,5,31.0,1,3,0,1,6,1,10,0,1,0,0,30.0,138.4,5,0,3,14,0,0,0.016666666666666666,0.4516129032258064,1,mmm,professional_domain,0,1,0,0
984,1740.0,1,127,5,8,8,85.91,1,6,0,1,5,1,2,0,2,1,0,10.0,132.4,3,1,3,13,130,0,0.03937007874015748,0.15132115004074032,1,nike,professional_domain,0,1,0,0
985,1100.0,1,28,5,4,3,100.4,1,1,1,1,5,1,24,1,1,0,0,30.0,123.0,3,0,3,14,0,0,0.17857142857142858,0.1394422310756972,0,yahoo,personal_domain,0,0,1,0
987,1450.0,1,59,6,4,7,105.32,0,0,0,1,6,2,4,8,5,0,0,30.0,172.1,5,2,3,14,275,0,0.1016949152542373,0.1329282187618686,1,merck,professional_domain,0,1,0,0
988,1290.0,1,45,6,5,10,106.51,1,1,1,1,6,1,40,0,2,1,0,20.0,103.7,3,0,3,13,44,0,0.13333333333333333,0.12205426720495728,0,protonmail,personal_domain,0,0,1,0
989,1725.0,1,87,4,6,4,115.84,1,3,2,1,6,1,5,0,2,1,0,20.0,168.3,5,1,3,12,92,0,0.045977011494252866,0.10359116022099447,1,cocacola,professional_domain,0,1,0,0
990,1429.0,1,67,6,5,5,70.18,1,2,1,1,6,1,8,3,0,0,0,10.0,224.0,10,0,3,13,0,0,0.08955223880597014,0.1852379595326304,1,protonmail,personal_domain,0,1,0,0
992,6042.0,1,151,3,9,10,133.54,1,1,0,1,5,1,5,0,3,0,0,10.0,275.8,7,1,4,10,365,0,0.019867549668874173,0.07488392990864161,1,pfizer,professional_domain,0,1,0,0
993,1900.0,1,121,6,8,2,121.51,1,2,0,1,6,1,7,1,2,0,0,10.0,184.4,5,1,3,13,480,0,0.04958677685950413,0.1069870792527364,1,hotmail,junk_domain,0,1,0,0
994,3967.5,1,115,7,9,2,99.89,1,1,1,1,6,2,50,0,0,1,0,30.0,197.8,6,1,4,12,320,0,0.060869565217391314,0.12013214535989587,0,mmm,professional_domain,0,0,1,0
995,1165.0,1,44,3,7,2,63.07,0,0,0,1,6,1,31,8,1,0,0,10.0,85.8,2,0,1,16,0,0,0.06818181818181818,0.2536863802124623,0,amex,professional_domain,0,0,1,0
996,3142.5,1,85,8,8,10,94.7,1,0,0,1,5,2,7,1,1,1,0,30.0,187.3,7,2,3,14,40,0,0.09411764705882353,0.14783526927138332,1,nike,professional_domain,0,1,0,0
997,1875.0,1,51,2,8,1,50.14,1,1,0,1,5,1,7,7,0,1,0,10.0,136.0,2,1,3,12,0,0,0.0392156862745098,0.2393298763462305,1,protonmail,personal_domain,0,1,0,0
998,1585.0,1,44,5,7,8,98.0,1,4,0,1,7,1,1,3,1,0,0,10.0,125.4,4,1,3,12,291,0,0.11363636363636365,0.12244897959183673,1,protonmail,personal_domain,0,1,0,0
1000,3027.0,1,181,9,9,1,132.06,1,7,0,0,6,1,2,0,6,0,0,20.0,153.0,5,1,4,9,120,0,0.04972375690607735,0.06815084052703317,1,disney,professional_domain,0,1,0,0
1001,1290.0,1,53,6,5,9,189.5,1,0,0,0,5,2,14,0,4,0,0,30.0,238.0,5,1,3,15,113,0,0.11320754716981132,0.07915567282321902,1,gmail,personal_domain,0,0,0,1
1002,2884.5,1,53,3,9,1,75.25,1,0,0,1,5,1,40,0,2,1,0,10.0,155.0,5,0,3,13,100,0,0.05660377358490566,0.17275747508305647,0,yahoo,personal_domain,0,0,1,0
1003,4125.0,1,113,5,10,7,128.0,1,2,1,1,6,1,13,0,4,0,0,20.0,277.5,7,1,3,12,0,0,0.04424778761061947,0.09375,1,gmail,personal_domain,0,1,0,0
1005,2968.5,1,56,3,5,2,300.59,1,4,0,1,5,1,12,1,0,0,0,20.0,185.0,5,1,3,13,0,0,0.05357142857142857,0.04324827838584118,1,gmail,personal_domain,0,0,0,1
1006,2602.5,1,159,7,10,10,87.78,1,1,0,1,5,2,50,4,3,0,0,10.0,183.0,5,0,4,12,0,0,0.0440251572327044,0.1367053998632946,0,yahoo,personal_domain,0,0,0,1
1008,222.25,1,12,1,11,2,101.56,0,6,0,1,6,1,33,0,3,1,1,20.0,83.2,3,1,3,12,0,0,0.08333333333333333,0.11815675462780625,0,gmail,personal_domain,0,0,1,0
1009,1850.0,1,59,7,6,10,114.58,1,1,0,1,6,2,48,0,0,0,0,10.0,161.0,6,1,3,13,0,0,0.11864406779661014,0.11345784604643044,0,protonmail,personal_domain,0,0,1,0
1011,4350.0,1,102,3,8,7,109.0,0,1,0,1,5,2,24,9,1,1,0,20.0,207.8,6,1,4,11,100,0,0.029411764705882356,0.10091743119266056,0,jpmorgan,professional_domain,0,0,0,1
1012,1750.0,1,50,4,6,8,114.0,1,0,0,0,5,1,28,0,2,0,0,30.0,174.3,5,1,3,15,365,1,0.08,0.13157894736842105,0,protonmail,personal_domain,0,0,1,0
1013,1850.0,1,50,6,4,10,98.49,0,2,0,1,6,2,7,0,2,1,0,10.0,164.4,5,1,3,14,0,0,0.12,0.14214641080312726,1,pfizer,professional_domain,0,1,0,0
1014,820.0,1,12,3,12,9,54.12,0,6,0,0,6,1,11,6,3,0,0,20.0,115.2,4,0,1,18,0,0,0.25,0.3325942350332595,1,yahoo,personal_domain,0,0,1,0
1016,6100.0,1,278,5,8,3,134.93,1,1,3,0,5,2,12,1,4,1,1,10.0,267.4,6,2,4,10,472,0,0.017985611510791366,0.07411250277921885,1,caterpillar,professional_domain,0,1,0,0
1017,2730.0,1,73,1,7,1,56.0,1,1,0,1,6,1,1,0,3,0,0,20.0,145.2,4,0,3,13,218,0,0.0136986301369863,0.23214285714285715,1,msn,junk_domain,0,1,0,0
1018,760.0,1,16,5,11,2,118.22,1,0,0,0,6,2,1,0,0,0,0,10.0,109.2,3,0,1,17,0,0,0.3125,0.1437996954829978,1,goldmansacs,professional_domain,0,1,0,0
1020,1275.0,1,37,3,4,7,103.06,0,1,0,1,6,2,14,0,3,1,0,10.0,135.5,4,0,1,19,0,0,0.08108108108108109,0.1843586260430817,1,gmail,personal_domain,0,0,1,0
1021,3106.25,1,44,1,6,2,46.0,1,2,0,1,6,1,12,3,2,0,0,10.0,157.3,3,0,3,13,216,0,0.022727272727272728,0.2826086956521739,1,gmail,personal_domain,0,0,0,1
1022,1190.0,1,34,7,3,3,143.87,1,6,0,1,5,2,8,8,0,0,0,10.0,98.8,3,0,2,17,0,0,0.2058823529411765,0.11816222979078335,1,protonmail,personal_domain,0,0,0,1
1023,1430.0,1,29,9,6,5,138.15,1,1,0,1,6,1,4,3,0,0,0,10.0,136.2,3,0,3,13,0,0,0.3103448275862069,0.09410061527325372,1,protonmail,personal_domain,0,1,0,0
1024,4497.0,1,221,4,7,10,123.28,1,5,0,1,6,2,20,0,13,0,0,0.0,254.1,8,1,4,9,146,0,0.01809954751131222,0.07300454250486697,0,protonmail,personal_domain,0,1,0,0
1025,1350.0,1,49,8,8,3,50.6,1,0,0,1,5,1,4,0,1,0,0,20.0,166.6,2,0,2,14,0,0,0.16326530612244894,0.2766798418972332,1,caterpillar,professional_domain,0,1,0,0
1026,3000.0,1,63,7,6,6,113.25,1,2,0,1,5,2,12,2,0,1,1,10.0,195.8,7,1,4,8,0,0,0.1111111111111111,0.0706401766004415,1,dupont,professional_domain,0,1,0,0
1030,3547.5,1,79,2,9,2,169.7,1,2,0,1,5,2,14,0,10,0,0,20.0,171.2,6,1,4,9,270,0,0.02531645569620253,0.053034767236299366,1,gmail,personal_domain,0,1,0,0
1032,2700.0,1,53,6,7,5,123.2,1,1,1,1,5,1,13,0,0,0,0,0.0,184.0,4,0,3,15,0,1,0.11320754716981132,0.12175324675324675,1,gmail,personal_domain,0,0,0,1
1033,1195.0,1,37,8,7,10,103.58,0,4,0,0,5,1,37,2,1,0,0,0.0,95.0,3,0,2,15,0,0,0.21621621621621626,0.14481560146746478,0,yahoo,personal_domain,0,0,1,0
1034,1566.25,1,13,1,11,6,18.8,1,0,0,1,6,1,18,3,5,0,0,0.0,98.7,3,0,2,16,604,1,0.07692307692307693,0.851063829787234,0,protonmail,personal_domain,0,0,1,0
1035,2140.0,1,66,2,8,8,98.35,1,0,0,1,5,1,2,0,5,0,0,0.0,153.6,5,0,3,13,113,1,0.030303030303030307,0.13218098627351296,1,passport,junk_domain,0,1,0,0
1036,2010.0,1,67,3,5,4,102.66,1,0,0,0,5,2,9,0,3,0,0,0.0,149.2,4,1,3,13,180,1,0.04477611940298507,0.12663159945451002,1,gmail,personal_domain,0,1,0,0
1037,1790.0,1,53,8,5,3,105.0,1,0,0,1,6,2,2,0,0,0,0,10.0,120.0,3,0,1,19,0,0,0.1509433962264151,0.18095238095238092,1,gmail,personal_domain,0,1,0,0
1038,1222.0,1,72,3,5,8,75.08,1,0,0,1,6,1,3,1,2,0,0,0.0,174.0,4,1,2,15,0,0,0.04166666666666666,0.19978689397975494,1,ibm,professional_domain,0,1,0,0
1040,3000.0,1,76,3,8,10,103.32,0,3,0,0,5,2,34,0,2,1,1,10.0,182.8,5,0,4,10,0,0,0.03947368421052632,0.09678668215253583,0,intel,professional_domain,0,0,1,0
1041,1890.0,1,54,2,5,10,74.99,1,1,0,1,5,2,4,0,0,0,0,10.0,145.6,5,1,3,11,0,0,0.037037037037037035,0.14668622482997734,1,verizon,professional_domain,0,1,0,0
1042,2685.0,1,58,8,5,10,1645.6,1,1,0,1,5,1,46,0,4,0,0,0.0,178.6,5,2,3,13,0,0,0.13793103448275862,0.00789985415653865,0,gmail,personal_domain,0,0,1,0
1043,2668.5,1,80,3,7,8,100.38,1,0,0,1,6,2,4,0,0,0,0,20.0,162.6,5,1,3,11,251,0,0.0375,0.10958358238692968,1,ibm,professional_domain,0,1,0,0
1044,1750.0,1,39,3,7,9,110.0,1,3,0,1,5,2,19,0,2,0,0,10.0,150.9,3,1,3,14,219,0,0.07692307692307693,0.12727272727272726,0,gmail,personal_domain,0,0,1,0
1046,1650.0,1,49,6,5,9,122.02,1,2,0,1,6,1,10,1,0,0,0,10.0,103.3,4,0,3,13,222,0,0.12244897959183673,0.10653991148991968,1,verizon,professional_domain,0,0,0,1
1047,2130.0,1,90,9,9,6,79.96,1,1,0,1,6,2,40,0,0,0,0,0.0,198.6,7,1,3,13,196,0,0.1,0.16258129064532267,0,protonmail,personal_domain,0,0,1,0
1048,1900.0,1,67,9,8,5,93.13,1,0,0,1,6,2,37,2,7,1,0,0.0,172.8,5,0,3,11,0,0,0.13432835820895522,0.11811446365295825,0,jpmorgan,professional_domain,0,0,1,0
1049,1050.0,1,14,3,12,10,89.92,1,0,0,1,5,1,10,0,2,0,0,10.0,137.6,4,1,2,17,0,0,0.21428571428571427,0.18905693950177932,1,yahoo,personal_domain,0,0,1,0
1050,1455.0,1,85,5,6,3,76.26,1,2,0,1,7,2,8,0,0,1,0,20.0,103.1,3,0,2,15,0,0,0.05882352941176471,0.1966955153422502,1,gmail,personal_domain,0,1,0,0
1052,800.0,1,13,8,12,8,93.0,1,0,0,1,6,2,10,0,0,0,0,0.0,100.6,3,0,1,18,0,0,0.6153846153846154,0.1935483870967742,1,goldmansacs,professional_domain,0,0,1,0
1053,1905.75,1,15,1,11,8,129.0,1,7,0,1,5,1,4,0,0,0,0,0.0,125.8,4,0,3,13,0,0,0.06666666666666668,0.1007751937984496,1,walmart,professional_domain,0,0,0,1
1054,1500.0,1,35,7,6,1,151.4,1,4,0,1,5,2,12,4,3,0,0,20.0,102.6,3,0,2,15,0,0,0.2,0.09907529722589167,1,passport,junk_domain,0,0,1,0
1055,1435.0,1,54,8,5,5,86.86,0,1,0,1,5,2,52,3,3,0,0,0.0,126.8,3,0,2,16,0,0,0.14814814814814814,0.18420446695832374,0,me,junk_domain,0,0,1,0
1056,869.0,1,14,2,11,6,49.0,0,4,0,0,6,1,11,1,6,1,0,20.0,67.2,2,0,2,15,0,0,0.14285714285714285,0.30612244897959184,1,me,junk_domain,0,0,1,0
1057,1449.0,1,76,7,7,3,103.0,1,1,0,1,6,1,12,0,1,1,0,0.0,108.6,4,0,3,13,104,0,0.09210526315789473,0.1262135922330097,1,yahoo,personal_domain,0,1,0,0
1058,1265.0,1,58,9,4,3,89.35,1,2,1,1,6,1,7,1,14,0,0,10.0,107.2,3,0,5,9,0,0,0.15517241379310345,0.10072747621712368,1,yahoo,personal_domain,0,1,0,0
1059,4018.5,1,171,6,8,10,85.35,1,2,1,0,5,1,18,0,0,0,0,0.0,161.2,4,1,3,13,165,0,0.03508771929824561,0.15231400117164615,0,protonmail,personal_domain,0,1,0,0
1061,1285.0,1,34,5,5,8,97.45,1,3,0,1,5,2,49,0,1,1,0,0.0,98.8,3,0,3,14,57,0,0.14705882352941174,0.14366341713699332,0,apple,professional_domain,0,0,1,0
1062,999.0,1,15,7,12,5,44.6,1,0,0,1,6,2,9,0,1,1,1,0.0,86.4,2,0,1,16,0,0,0.4666666666666667,0.3587443946188341,1,protonmail,personal_domain,0,0,1,0
1063,2715.0,1,64,7,8,6,75.0,1,6,0,1,5,2,4,0,3,1,0,20.0,121.8,4,0,3,15,210,0,0.109375,0.2,1,mmm,professional_domain,0,1,0,0
1064,1430.0,1,62,4,5,10,113.55,1,2,0,1,6,2,4,0,2,0,0,20.0,121.4,3,1,2,17,196,0,0.06451612903225806,0.14971378247468076,1,mcdonalds,professional_domain,0,1,0,0
1066,2655.0,1,64,6,7,10,125.94,0,1,0,1,5,1,6,4,2,0,0,0.0,173.3,5,1,3,12,0,0,0.09375,0.0952834683182468,1,unitedhealth,professional_domain,0,1,0,0
1068,1890.0,1,135,4,6,2,91.0,1,2,1,1,6,1,5,0,2,0,0,0.0,162.8,5,1,3,14,32,0,0.02962962962962963,0.15384615384615385,1,yahoo,personal_domain,0,1,0,0
1069,1245.0,1,71,2,6,4,77.96,1,4,1,1,6,1,27,0,3,0,0,10.0,196.0,8,0,3,11,360,0,0.028169014084507043,0.14109799897383274,0,ge,for_proft_domain,0,0,1,0
1071,2587.5,1,65,8,7,6,45.4,1,2,2,0,5,1,21,0,0,0,0,20.0,157.6,5,1,4,10,24,0,0.12307692307692307,0.2202643171806168,0,me,junk_domain,0,0,0,1
1073,3262.5,1,241,7,6,10,122.92,1,0,0,1,6,2,6,0,1,0,0,20.0,216.1,6,2,3,13,0,0,0.02904564315352697,0.10575984380084608,1,gmail,personal_domain,0,1,0,0
1075,1405.0,1,64,7,5,7,98.5,1,0,0,1,5,1,12,0,6,1,0,20.0,162.5,6,0,3,12,0,0,0.109375,0.1218274111675127,1,gmail,personal_domain,0,1,0,0
1077,1451.0,1,50,6,7,4,103.0,1,1,0,0,6,2,19,0,1,0,0,10.0,129.2,4,2,3,11,144,0,0.12,0.10679611650485436,0,protonmail,personal_domain,0,0,1,0
1078,2090.0,1,48,2,9,2,83.27,1,2,0,0,5,1,51,0,0,0,0,10.0,165.3,4,0,3,14,0,0,0.04166666666666666,0.16812777711060406,0,yahoo,personal_domain,0,0,1,0
1079,1620.0,1,62,6,5,3,97.3,1,0,0,1,6,1,4,0,0,0,0,20.0,128.7,5,1,3,14,0,0,0.0967741935483871,0.14388489208633093,1,protonmail,personal_domain,0,1,0,0
1080,1475.0,1,47,4,5,5,82.74,1,1,0,1,6,2,47,0,5,0,0,10.0,123.2,4,1,3,13,0,0,0.0851063829787234,0.15711868503746676,0,gmail,personal_domain,0,0,1,0
1081,1610.0,1,82,6,8,10,87.0,1,0,1,1,5,2,7,3,4,1,0,10.0,104.2,3,0,3,11,98,0,0.07317073170731707,0.1264367816091954,1,apple,professional_domain,0,1,0,0
1083,980.0,1,14,2,11,8,46.71,1,0,1,1,5,1,8,2,5,0,0,10.0,134.4,5,0,4,11,0,1,0.14285714285714285,0.23549561121815454,1,protonmail,personal_domain,0,0,1,0
1085,1235.0,1,39,8,7,7,59.2,1,1,0,1,5,1,9,0,5,0,0,10.0,190.2,5,0,3,12,0,0,0.20512820512820512,0.2027027027027027,1,unitedtech,professional_domain,0,0,0,1
1089,1490.0,1,117,5,5,2,113.41,1,1,0,1,6,1,8,0,1,0,0,10.0,100.4,3,1,3,13,180,0,0.042735042735042736,0.11462833965258795,1,yahoo,personal_domain,0,1,0,0
1090,1240.0,1,27,6,7,5,88.3,0,2,0,1,6,1,8,0,7,0,0,20.0,104.0,3,0,1,16,136,0,0.2222222222222222,0.18120045300113247,1,gmail,personal_domain,0,0,0,1
1091,5550.0,1,216,10,8,1,155.31,1,1,0,1,6,1,22,0,2,1,0,0.0,240.2,8,2,4,11,200,0,0.04629629629629629,0.07082608975597192,0,chevron,professional_domain,0,1,0,0
1093,3202.5,1,84,4,6,1,235.95,1,0,2,1,5,2,13,1,1,0,0,10.0,152.4,2,1,3,14,0,0,0.047619047619047616,0.05933460478915024,1,ibm,professional_domain,0,1,0,0
1094,1745.0,1,148,7,6,4,105.75,1,0,0,1,6,2,7,0,1,1,0,10.0,157.6,5,1,3,13,90,0,0.0472972972972973,0.12293144208037825,1,mcdonalds,professional_domain,0,1,0,0
1096,970.0,1,15,5,12,2,228.73,1,4,0,1,6,2,52,0,4,0,0,20.0,98.7,3,0,2,16,425,0,0.3333333333333333,0.06995147116687797,0,apple,professional_domain,0,0,1,0
1097,4755.0,1,116,2,7,1,121.44,1,1,1,1,5,2,13,0,5,0,0,0.0,204.6,5,1,4,10,464,0,0.017241379310344827,0.08234519104084323,1,jpmorgan,professional_domain,0,1,0,0
1098,131.0,1,13,7,11,9,140.84,0,1,0,0,6,2,12,2,7,1,1,10.0,73.3,2,0,3,12,0,0,0.5384615384615384,0.08520306731042318,1,protonmail,personal_domain,0,0,1,0
